"","Gene_name","Method","Sensitivity","lower.Sensitivity","upper.Sensitivity","Specificity","lower.Specificity","upper.Specificity","Mean.DOR","Median.DOR","lower.Mean.DOR","upper.Mean.DOR","Mean.Pos.LR","Median.Pos.LR","lower.Pos.LR","upper.Pos.LR","Mean.Neg.LR","Median.Neg.LR","lower.Neg.LR","upper.Neg.LR","AUC","Method.1","DOR","lower.DOR","upper.DOR","lnDOR","lower.lnDOR","upper.lnDOR","tau.2","lower.tau.2","upper.tau.2","tau","lower.tau","upper.tau","I.2","Q","p.value","df","k.study"
"ANGPTL8","ANGPTL8","Bivariate model, Reitsma 2005",0.692,0.533,0.816,0.762,0.46,0.924,9.64,7.22,1.63,32.2,3.46,2.88,1.23,9.12,0.435,0.413,0.232,0.768,0.722,"Univariate model, Glas 2003",7.688,1.675,35.276,2.04,0.516,3.563,0.001,0,2048.462,0.033,0,45.26,0,1,0.317,1,2
"CD109","CD109","Bivariate model, Reitsma 2005",0.776,0.662,0.86,0.745,0.424,0.921,14.1,10.1,2.04,50.2,3.69,3.02,1.28,10,0.331,0.307,0.171,0.641,0.791,"Univariate model, Glas 2003",10.555,2.073,53.735,2.357,0.729,3.984,1.128,0,82.595,1.062,0,9.088,0,1.796,0.407,2,3
"RTN4RL2","RTN4RL2","Bivariate model, Reitsma 2005",0.77,0.212,0.976,0.893,0.579,0.981,181,27.9,0.636,1230,11,6.76,0.734,46.6,0.356,0.264,0.025,1.13,0.916,"Univariate model, Glas 2003",24.613,0.7,865.282,3.203,-0.357,6.763,4.731,0,6941.758,2.175,0,83.317,0,1,0.317,1,2
"ADGRF5","ADGRF5","Bivariate model, Reitsma 2005",0.591,0.385,0.769,0.797,0.473,0.945,9.05,5.66,0.842,37.8,3.76,2.87,0.915,11.9,0.561,0.523,0.268,1.08,0.74,"Univariate model, Glas 2003",5.381,0.938,30.864,1.683,-0.064,3.43,0.482,0,1690.103,0.694,0,41.111,0,1,0.317,1,2
"COL12A1","COL12A1","Bivariate model, Reitsma 2005",0.773,0.578,0.895,0.665,0.403,0.854,8.8,6.78,1.65,27.8,2.53,2.27,1.21,5.32,0.375,0.348,0.152,0.752,0.779,"Univariate model, Glas 2003",8.324,1.787,38.776,2.119,0.581,3.658,0,0,43.804,0,0,6.618,0,0.031,0.86,1,2
"DPEP2","DPEP2","Bivariate model, Reitsma 2005",0.941,0.795,0.985,0.515,0.1,0.91,49.2,16.8,0.953,299,2.86,1.92,0.994,10.5,0.224,0.124,0.023,1.04,0.923,"Univariate model, Glas 2003",22.687,1.827,281.758,3.122,0.603,5.641,2.822,0,285.149,1.68,0,16.886,15.617,2.37,0.306,2,3
"ANTXR1","ANTXR1","Bivariate model, Reitsma 2005",0.927,0.69,0.986,0.788,0.582,0.908,85.7,47.3,5.59,401,4.74,4.27,2.01,10.2,0.127,0.094,0.017,0.426,0.863,"Univariate model, Glas 2003",46.438,6.099,353.56,3.838,1.808,5.868,1.004,0,110.526,1.002,0,10.513,0,1.882,0.39,2,3
"CDHR5","CDHR5","Bivariate model, Reitsma 2005",0.773,0.575,0.896,0.791,0.453,0.945,17.2,12.9,2.9,57.1,4.54,3.63,1.45,13.1,0.314,0.299,0.144,0.569,0.826,"Univariate model, Glas 2003",12.084,3.184,45.866,2.492,1.158,3.826,0,0,33.883,0,0,5.821,0,1.075,0.584,2,3
"SLC38A10","SLC38A10","Bivariate model, Reitsma 2005",0.704,0.476,0.862,0.803,0.612,0.913,11.7,9.67,2.89,32.3,3.82,3.49,1.75,7.81,0.387,0.375,0.178,0.665,0.83,"Univariate model, Glas 2003",9.224,2.871,29.631,2.222,1.055,3.389,0,0,10.885,0,0,3.299,0,0.597,0.742,2,3
"PCDH12","PCDH12","Bivariate model, Reitsma 2005",0.821,0.279,0.982,0.67,0.395,0.863,30.4,9.33,0.466,189,2.67,2.36,0.638,6.5,0.39,0.274,0.024,1.35,0.715,"Univariate model, Glas 2003",9.287,0.527,163.54,2.229,-0.64,5.097,3.053,0,4461.629,1.747,0,66.795,0,1,0.317,1,2
"IL1RAP","IL1RAP","Bivariate model, Reitsma 2005",0.67,0.413,0.853,0.809,0.564,0.933,15.3,8.58,1.04,70.3,4.27,3.48,1.03,12.2,0.452,0.411,0.161,0.982,0.807,"Univariate model, Glas 2003",7.273,1.393,37.959,1.984,0.332,3.637,1.235,0,159.834,1.111,0,12.643,20.638,2.52,0.284,2,3
"ERAP1","ERAP1","Bivariate model, Reitsma 2005",0.611,0.359,0.815,0.86,0.514,0.973,13.6,9.6,1.87,49,5.72,4.23,1.34,19,0.482,0.472,0.24,0.779,0.778,"Univariate model, Glas 2003",19.06,3.26,111.451,2.948,1.182,4.714,0,0,0,0,0,0,0,0.047,0.977,2,3
"COLEC10","COLEC10","Bivariate model, Reitsma 2005",0.683,0.444,0.854,0.834,0.652,0.931,16.6,10.8,1.76,66.6,4.7,4.07,1.4,11.7,0.408,0.382,0.162,0.804,0.839,"Univariate model, Glas 2003",8.625,1.487,50.023,2.155,0.397,3.912,1.475,0,134.308,1.215,0,11.589,8.716,2.191,0.334,2,3
"SERPINB6","SERPINB6","Bivariate model, Reitsma 2005",0.833,0.674,0.923,0.601,0.501,0.693,8.47,7.5,2.84,19.7,2.09,2.07,1.54,2.77,0.296,0.28,0.127,0.557,0.807,"Univariate model, Glas 2003",8.02,2.639,24.37,2.082,0.97,3.193,0,0,386.116,0,0,19.65,0,0.42,0.517,1,2
"NRP2","NRP2","Bivariate model, Reitsma 2005",0.445,0.269,0.635,0.914,0.786,0.968,11,8.48,2.05,35.2,6.03,5.09,1.7,15.9,0.615,0.613,0.394,0.848,0.735,"Univariate model, Glas 2003",8.526,1.93,37.655,2.143,0.658,3.628,0.402,0,56.029,0.634,0,7.485,0,1.881,0.39,2,3
"MARCKS","MARCKS","Bivariate model, Reitsma 2005",0.854,0.707,0.935,0.712,0.131,0.976,58,14.4,0.553,379,6.85,2.93,0.901,37.2,0.369,0.216,0.075,1.61,0.859,"Univariate model, Glas 2003",14.621,0.575,371.741,2.682,-0.553,5.918,4.247,0,6018.713,2.061,0,77.58,0,1,0.317,1,2
"GBA","GBA","Bivariate model, Reitsma 2005",0.825,0.292,0.982,0.605,0.396,0.782,28,7.18,0.283,182,2.17,2.08,0.494,4.48,0.451,0.291,0.024,1.74,0.705,"Univariate model, Glas 2003",7.061,0.279,178.649,1.955,-1.276,5.185,4.598,0,5763.172,2.144,0,75.916,0,1,0.317,1,2
"NCF4","NCF4","Bivariate model, Reitsma 2005",0.799,0.507,0.939,0.489,0.146,0.842,5.02,3.81,0.887,16.4,1.79,1.53,0.974,4.17,0.483,0.436,0.165,1.09,0.749,"Univariate model, Glas 2003",4.128,1.098,15.523,1.418,0.093,2.742,0,0,314.537,0,0,17.735,0,0.206,0.65,1,2
"KIAA0319L","KIAA0319L","Bivariate model, Reitsma 2005",0.779,0.59,0.897,0.718,0.142,0.975,20.6,8.99,0.717,113,5.65,2.73,0.944,28.5,0.428,0.338,0.157,1.31,0.794,"Univariate model, Glas 2003",8.697,0.965,78.423,2.163,-0.036,4.362,1.379,0,3187.819,1.174,0,56.461,0,1,0.317,1,2
"APEH","APEH","Bivariate model, Reitsma 2005",0.614,0.419,0.779,0.721,0.53,0.855,4.88,4.11,1.31,13,2.33,2.17,1.15,4.42,0.555,0.541,0.3,0.892,0.657,"Univariate model, Glas 2003",8.301,1.489,46.27,2.116,0.398,3.834,0,0,1205.734,0,0,34.724,0,0.611,0.434,1,2
"CHIT1","CHIT1","Bivariate model, Reitsma 2005",0.75,0.544,0.883,0.648,0.317,0.879,7.88,5.51,1.05,28.9,2.48,2.1,1.02,6.22,0.44,0.397,0.169,0.97,0.742,"Univariate model, Glas 2003",3.872,0.928,16.154,1.354,-0.075,2.782,0,0,1131.037,0,0,33.631,0,0.924,0.336,1,2
"ETFA","ETFA","Bivariate model, Reitsma 2005",0.468,0.24,0.709,0.779,0.493,0.927,4.4,3.1,0.598,16,2.52,2.08,0.73,6.94,0.717,0.696,0.367,1.21,0.546,"Univariate model, Glas 2003",3.002,0.424,21.258,1.099,-0.858,3.057,0,0,993.986,0,0,31.528,0,0.434,0.51,1,2
"ALDH1A3","ALDH1A3","Bivariate model, Reitsma 2005",0.749,0.489,0.903,0.692,0.559,0.8,8.27,6.7,1.88,23.9,2.46,2.39,1.41,3.89,0.389,0.366,0.14,0.763,0.774,"Univariate model, Glas 2003",7.652,1.387,42.211,2.035,0.327,3.743,0,0,1489.48,0,0,38.594,0,0.63,0.427,1,2
"HEXA","HEXA","Bivariate model, Reitsma 2005",0.777,0.526,0.916,0.728,0.14,0.978,18.2,9.31,0.964,89.4,5.68,2.8,0.995,28.2,0.404,0.348,0.159,1.03,0.807,"Univariate model, Glas 2003",7.824,1.48,41.361,2.057,0.392,3.722,0.477,0,2398.937,0.691,0,48.979,0,1,0.317,1,2
"GCA","GCA","Bivariate model, Reitsma 2005",0.637,0.418,0.811,0.794,0.707,0.861,7.73,6.77,2.47,18.5,3.14,3.06,1.8,4.92,0.468,0.459,0.238,0.745,0.805,"Univariate model, Glas 2003",5.312,1.782,15.841,1.67,0.577,2.763,0,0,698.292,0,0,26.425,0,0.403,0.526,1,2
"EIF4A1","EIF4A1","Bivariate model, Reitsma 2005",0.891,0.711,0.964,0.44,0.31,0.579,8.05,6.41,1.71,24.1,1.59,1.57,1.18,2.13,0.286,0.25,0.078,0.7,0.624,"Univariate model, Glas 2003",6.838,1.368,34.175,1.923,0.314,3.531,0,0,193.737,0,0,13.919,0,0.103,0.748,1,2
"RECK","RECK","Bivariate model, Reitsma 2005",0.815,0.678,0.902,0.503,0.24,0.764,5.5,4.46,1.25,15.9,1.78,1.63,1.06,3.38,0.411,0.375,0.181,0.85,0.804,"Univariate model, Glas 2003",4.125,1.694,10.045,1.417,0.527,2.307,0,0,849.578,0,0,29.148,0,0.972,0.324,1,2
"GLUD1","GLUD1","Bivariate model, Reitsma 2005",0.867,0.653,0.958,0.505,0.249,0.759,8.68,6.67,1.6,27.7,1.86,1.72,1.13,3.41,0.308,0.271,0.089,0.733,0.817,"Univariate model, Glas 2003",9.824,2.001,48.245,2.285,0.693,3.876,0,0,91.231,0,0,9.551,0,0.048,0.826,1,2
"PCCA","PCCA","Bivariate model, Reitsma 2005",0.532,0.291,0.76,0.742,0.509,0.889,4.3,3.28,0.774,13.9,2.28,2.03,0.856,5.16,0.656,0.639,0.319,1.1,0.585,"Univariate model, Glas 2003",5.048,0.782,32.591,1.619,-0.246,3.484,0,0,135.868,0,0,11.656,0,0.061,0.804,1,2
"REG1A","REG1A","Bivariate model, Reitsma 2005",0.718,0.554,0.84,0.676,0.538,0.788,5.94,5.32,2.11,13.4,2.26,2.2,1.43,3.48,0.431,0.42,0.233,0.696,0.751,"Univariate model, Glas 2003",5.359,1.117,25.725,1.679,0.11,3.247,0.768,0,118.306,0.876,0,10.877,9.931,2.221,0.329,2,3
"PTPRF","PTPRF","Bivariate model, Reitsma 2005",0.665,0.323,0.892,0.794,0.286,0.974,9.59,7.65,2.04,28.5,4.37,3.15,1.19,14.8,0.463,0.453,0.234,0.741,0.772,"Univariate model, Glas 2003",6.325,2.399,16.68,1.845,0.875,2.814,0,0,37.086,0,0,6.09,0,1.812,0.404,2,3
"SPTB","SPTB","Bivariate model, Reitsma 2005",0.722,0.502,0.87,0.55,0.307,0.771,3.66,3.17,1.1,9.06,1.68,1.58,1.04,2.88,0.538,0.517,0.26,0.945,0.696,"Univariate model, Glas 2003",3.824,1.277,11.452,1.341,0.244,2.438,0,0,47.73,0,0,6.909,0,0.062,0.803,1,2
"PDIA4","PDIA4","Bivariate model, Reitsma 2005",0.799,0.406,0.958,0.836,0.688,0.922,35.3,20.3,2.55,160,5.1,4.68,1.82,10.8,0.286,0.243,0.049,0.747,0.857,"Univariate model, Glas 2003",16.435,2.281,118.433,2.799,0.825,4.774,0.708,0,2180.469,0.841,0,46.695,0,1,0.317,1,2
"TCP1","TCP1","Bivariate model, Reitsma 2005",0.806,0.149,0.99,0.749,0.252,0.964,21.2,12.4,1.63,94.6,3.54,2.78,1.19,10.4,0.347,0.276,0.026,0.935,0.837,"Univariate model, Glas 2003",10.886,1.745,67.914,2.388,0.557,4.218,0,0,518.674,0,0,22.774,0,0.213,0.644,1,2
"SDC1","SDC1","Bivariate model, Reitsma 2005",0.89,0.684,0.968,0.666,0.061,0.984,45.2,16.1,0.96,269,7.99,2.63,0.997,48,0.285,0.202,0.071,1.04,0.891,"Univariate model, Glas 2003",15.13,1.407,162.657,2.717,0.342,5.092,1.555,0,3462.371,1.247,0,58.842,0,1,0.317,1,2
"PSMB1","PSMB1","Bivariate model, Reitsma 2005",0.772,0.598,0.885,0.751,0.484,0.907,12.4,10.2,3,34.7,3.48,3.06,1.51,7.84,0.325,0.312,0.161,0.56,0.811,"Univariate model, Glas 2003",9.059,2.925,28.058,2.204,1.073,3.334,0,0,12.022,0,0,3.467,0,0.593,0.744,2,3
"FGFR2","FGFR2","Bivariate model, Reitsma 2005",0.769,0.564,0.896,0.652,0.274,0.903,9.25,6.25,1.1,35.5,2.72,2.17,1.03,7.64,0.414,0.369,0.157,0.94,0.776,"Univariate model, Glas 2003",8.577,1.666,44.156,2.149,0.51,3.788,0,0,1065.147,0,0,32.637,0,0.748,0.387,1,2
"CPS1","CPS1","Bivariate model, Reitsma 2005",0.702,0.326,0.92,0.807,0.352,0.97,13.6,9.88,2.05,47.7,4.77,3.47,1.26,16,0.412,0.394,0.139,0.777,0.812,"Univariate model, Glas 2003",12.037,2.577,56.23,2.488,0.947,4.029,0,0,192.547,0,0,13.876,0,0.099,0.753,1,2
"LAMB2","LAMB2","Bivariate model, Reitsma 2005",0.694,0.518,0.828,0.746,0.661,0.815,7.33,6.67,2.85,15.6,2.75,2.71,1.82,3.94,0.419,0.411,0.23,0.656,0.766,"Univariate model, Glas 2003",8.997,1.272,63.611,2.197,0.241,4.153,1.01,0,2856.47,1.005,0,53.446,0,1,0.317,1,2
"LRP2","LRP2","Bivariate model, Reitsma 2005",0.799,0.228,0.982,0.836,0.658,0.931,94,20.4,0.661,626,5.44,4.79,0.743,14,0.336,0.241,0.02,1.12,0.875,"Univariate model, Glas 2003",17.88,0.624,512.258,2.884,-0.472,6.239,4.174,0,7227.051,2.043,0,85.012,0,1,0.317,1,2
"ARHGAP1","ARHGAP1","Bivariate model, Reitsma 2005",0.926,0.747,0.981,0.612,0.486,0.725,26.7,19.7,4.27,90.7,2.4,2.35,1.69,3.36,0.149,0.122,0.03,0.424,0.837,"Univariate model, Glas 2003",23.461,3.955,139.162,3.155,1.375,4.936,0,0,158.604,0,0,12.594,0,0.083,0.774,1,2
"CRYZ","CRYZ","Bivariate model, Reitsma 2005",0.517,0.34,0.69,0.851,0.719,0.927,7.14,6.12,2.07,18.2,3.73,3.43,1.63,7.52,0.575,0.572,0.362,0.809,0.833,"Univariate model, Glas 2003",5.289,1.444,19.378,1.666,0.367,2.964,0,0,131.693,0,0,11.476,0,0.115,0.735,1,2
"PLS1","PLS1","Bivariate model, Reitsma 2005",0.823,0.487,0.958,0.521,0.37,0.668,7.33,5.04,0.922,27.5,1.7,1.68,0.963,2.56,0.402,0.344,0.08,1.04,0.771,"Univariate model, Glas 2003",12.397,0.231,665.627,2.517,-1.466,6.501,5.865,0,9058.393,2.422,0,95.176,0,1,0.317,1,2
"KPNB1","KPNB1","Bivariate model, Reitsma 2005",0.308,0.12,0.591,0.895,0.717,0.966,5.51,3.79,0.7,20.6,3.64,2.88,0.752,11,0.776,0.782,0.458,1.07,0.305,"Univariate model, Glas 2003",2.755,0.404,18.771,1.013,-0.906,2.932,0,0,1339.758,0,0,36.603,0,0.682,0.409,1,2
"UGT8","UGT8","Bivariate model, Reitsma 2005",0.869,0.736,0.94,0.346,0.291,0.405,3.88,3.49,1.42,8.59,1.32,1.32,1.11,1.51,0.406,0.381,0.171,0.781,0.557,"Univariate model, Glas 2003",4.105,1.011,16.666,1.412,0.011,2.813,0.424,0,1747.107,0.651,0,41.798,0,1,0.317,1,2
"NEO1","NEO1","Bivariate model, Reitsma 2005",0.725,0.485,0.881,0.583,0.43,0.723,3.99,3.7,1.73,7.93,1.73,1.71,1.31,2.29,0.484,0.474,0.241,0.785,0.674,"Univariate model, Glas 2003",4.415,1.257,15.505,1.485,0.229,2.741,0.662,0,165.613,0.814,0,12.869,35.884,3.119,0.21,2,3
"CDHR2","CDHR2","Bivariate model, Reitsma 2005",0.784,0.448,0.942,0.79,0.33,0.966,22.1,13.7,2.01,93.1,5.26,3.59,1.23,19.4,0.325,0.295,0.09,0.719,0.849,"Univariate model, Glas 2003",23.413,2.745,199.711,3.153,1.01,5.297,0,0,265.565,0,0,16.296,0,0.11,0.74,1,2
"CNTN3","CNTN3","Bivariate model, Reitsma 2005",0.78,0.531,0.917,0.645,0.391,0.837,10.4,6.43,0.933,44.3,2.42,2.17,0.971,5.32,0.404,0.345,0.107,1.04,0.778,"Univariate model, Glas 2003",4.637,0.826,26.03,1.534,-0.191,3.259,1.403,0,82.659,1.185,0,9.092,0,1.878,0.391,2,3
"TRHDE","TRHDE","Bivariate model, Reitsma 2005",0.855,0.704,0.936,0.571,0.457,0.679,9,7.87,2.85,21.8,2.01,1.98,1.47,2.7,0.273,0.255,0.111,0.536,0.793,"Univariate model, Glas 2003",9.22,2.386,35.624,2.221,0.87,3.573,0.237,0,46.916,0.487,0,6.85,0,1.905,0.386,2,3
"FLT4","FLT4","Bivariate model, Reitsma 2005",0.53,0.328,0.722,0.675,0.279,0.918,3.07,2.34,0.556,9.88,1.98,1.61,0.794,5.35,0.768,0.716,0.452,1.42,0.584,"Univariate model, Glas 2003",2.157,0.73,6.378,0.769,-0.315,1.853,0,0,744.34,0,0,27.283,0,0.636,0.425,1,2
"KRT6B","KRT6B","Bivariate model, Reitsma 2005",0.526,0.216,0.817,0.809,0.309,0.976,6.01,4.7,1.19,18.6,3.6,2.67,1.06,11.7,0.629,0.625,0.358,0.917,0.687,"Univariate model, Glas 2003",3.882,1.383,10.897,1.356,0.324,2.388,0,0,602.479,0,0,24.545,0,0.283,0.595,1,2
"TFPI","TFPI","Bivariate model, Reitsma 2005",0.796,0.176,0.986,0.606,0.266,0.866,9.34,6,0.951,37.9,1.89,1.81,0.964,3.2,0.407,0.344,0.043,1.01,0.713,"Univariate model, Glas 2003",4.263,1.113,16.334,1.45,0.107,2.793,0.29,0,1635.094,0.538,0,40.436,0,1,0.317,1,2
"LAMB1","LAMB1","Bivariate model, Reitsma 2005",0.88,0.742,0.949,0.351,0.22,0.509,4.69,3.96,1.26,12.4,1.37,1.35,1.06,1.81,0.381,0.345,0.134,0.841,0.668,"Univariate model, Glas 2003",4.812,1.389,16.675,1.571,0.328,2.814,0,0,22.556,0,0,4.749,0,0.027,0.87,1,2
"NOTCH3","NOTCH3","Bivariate model, Reitsma 2005",0.68,0.419,0.862,0.664,0.4,0.855,4.82,4.2,1.49,11.8,2.13,1.98,1.19,3.98,0.506,0.495,0.245,0.834,0.721,"Univariate model, Glas 2003",4.01,1.42,11.325,1.389,0.351,2.427,0,0,0,0,0,0,0,0,0.998,1,2
"HPD","HPD","Bivariate model, Reitsma 2005",0.75,0.305,0.953,0.581,0.083,0.955,5.78,4.15,0.843,20.5,2.53,1.73,0.977,8.95,0.534,0.494,0.191,1.14,0.736,"Univariate model, Glas 2003",4.226,1.073,16.643,1.441,0.071,2.812,0,0,403.586,0,0,20.089,0,0.345,0.557,1,2
"ASL","ASL","Bivariate model, Reitsma 2005",0.555,0.325,0.764,0.799,0.323,0.971,7.24,4.96,0.906,27.2,3.95,2.71,0.965,14.4,0.616,0.591,0.363,1.06,0.661,"Univariate model, Glas 2003",4.048,1.289,12.717,1.398,0.254,2.543,0,0,1309.753,0,0,36.191,0,0.631,0.427,1,2
"FLG","FLG","Bivariate model, Reitsma 2005",0.759,0.232,0.971,0.516,0.183,0.835,5.06,3.36,0.572,19.8,1.59,1.46,0.73,3.15,0.542,0.489,0.094,1.25,0.645,"Univariate model, Glas 2003",3.326,0.732,15.103,1.202,-0.312,2.715,0,0,611.841,0,0,24.735,0,0.277,0.598,1,2
"ADH1B","ADH1B","Bivariate model, Reitsma 2005",0.735,0.404,0.919,0.519,0.29,0.741,3.76,2.99,0.803,11.2,1.55,1.49,0.903,2.56,0.555,0.521,0.181,1.12,0.614,"Univariate model, Glas 2003",2.654,0.811,8.685,0.976,-0.21,2.162,0,0,306.432,0,0,17.505,0,0.364,0.546,1,2
"CPQ","CPQ","Bivariate model, Reitsma 2005",0.883,0.437,0.986,0.66,0.047,0.987,32.1,14.6,1.24,171,7.28,2.51,1.01,43.7,0.295,0.232,0.053,0.847,0.879,"Univariate model, Glas 2003",19.513,2.299,165.603,2.971,0.833,5.11,0,0,1215.942,0,0,34.87,0,0.503,0.478,1,2
"ENTPD5","ENTPD5","Bivariate model, Reitsma 2005",0.632,0.348,0.847,0.767,0.566,0.892,8.21,5.64,1.03,30.7,2.98,2.66,1.02,6.77,0.513,0.486,0.189,0.988,0.779,"Univariate model, Glas 2003",6.288,1.264,31.275,1.839,0.234,3.443,0.621,0,1402.006,0.788,0,37.443,0,1,0.317,1,2
"S100A7","S100A7","Bivariate model, Reitsma 2005",0.498,0.319,0.678,0.805,0.535,0.937,5.49,4.12,0.934,18.2,3.06,2.53,0.961,8.24,0.651,0.633,0.39,1.03,0.576,"Univariate model, Glas 2003",7.114,1.271,39.812,1.962,0.24,3.684,0,0,388.827,0,0,19.719,0,0.198,0.656,1,2
"KRT17","KRT17","Bivariate model, Reitsma 2005",0.646,0.049,0.985,0.758,0.137,0.984,10.7,5.7,0.63,51.5,3.23,2.16,0.74,12.1,0.542,0.52,0.056,1.11,0.767,"Univariate model, Glas 2003",7.431,0.843,65.483,2.006,-0.171,4.182,0,0,241.872,0,0,15.552,0,0.097,0.755,1,2
"PAM","PAM","Bivariate model, Reitsma 2005",0.791,0.176,0.985,0.745,0.557,0.871,29.5,11,0.715,172,2.95,2.83,0.774,5.76,0.37,0.284,0.021,1.07,0.765,"Univariate model, Glas 2003",9.827,0.761,126.873,2.285,-0.273,4.843,2.433,0,3714.343,1.56,0,60.945,0,1,0.317,1,2
"ALDH1A1","ALDH1A1","Bivariate model, Reitsma 2005",0.599,0.442,0.738,0.67,0.485,0.814,3.45,3.03,1.12,8.21,1.9,1.8,1.06,3.34,0.618,0.603,0.374,0.948,0.635,"Univariate model, Glas 2003",5.167,0.486,54.873,1.642,-0.721,4.005,1.847,0,3567.055,1.359,0,59.725,0,1,0.317,1,2
"ACE","ACE","Bivariate model, Reitsma 2005",0.835,0.582,0.949,0.711,0.357,0.916,26.6,12.5,1.11,139,3.6,2.84,1.04,10.6,0.303,0.237,0.061,0.939,0.852,"Univariate model, Glas 2003",12.403,1.07,143.797,2.518,0.067,4.968,2.005,0,3349.987,1.416,0,57.879,0,1,0.317,1,2
"ADAMDEC1","ADAMDEC1","Bivariate model, Reitsma 2005",0.736,0.386,0.925,0.76,0.333,0.953,11.3,8.84,2.24,35,3.77,2.95,1.27,11.1,0.387,0.369,0.141,0.725,0.809,"Univariate model, Glas 2003",8.958,2.335,34.372,2.193,0.848,3.537,0,0,54.262,0,0,7.366,0,0.057,0.811,1,2
"FLG2","FLG2","Bivariate model, Reitsma 2005",0.416,0.223,0.637,0.762,0.219,0.973,4.41,2.27,0.239,21.6,2.98,1.72,0.547,13.1,0.938,0.791,0.496,2.34,0.479,"Univariate model, Glas 2003",2.236,0.39,12.834,0.805,-0.942,2.552,0.184,0,2131.313,0.429,0,46.166,0,1,0.317,1,2
"PTPRM","PTPRM","Bivariate model, Reitsma 2005",0.809,0.532,0.941,0.799,0.596,0.915,27.5,16.9,2.44,117,4.45,3.95,1.58,10.2,0.276,0.242,0.07,0.676,0.86,"Univariate model, Glas 2003",14.844,2.399,91.829,2.698,0.875,4.52,0.81,0,2152.223,0.9,0,46.392,0,1,0.317,1,2
"SEMA4B","SEMA4B","Bivariate model, Reitsma 2005",0.709,0.158,0.969,0.654,0.036,0.99,7.19,4.61,0.724,29.3,3.99,1.97,0.981,19.5,0.599,0.551,0.223,1.33,0.737,"Univariate model, Glas 2003",3.169,0.974,10.312,1.153,-0.026,2.333,0,0,1436.229,0,0,37.898,0,0.694,0.405,1,2
"TIE1","TIE1","Bivariate model, Reitsma 2005",0.73,0.531,0.865,0.678,0.417,0.862,7.33,5.7,1.42,22.9,2.5,2.24,1.15,5.33,0.433,0.407,0.19,0.826,0.763,"Univariate model, Glas 2003",4.945,1.191,20.54,1.598,0.174,3.022,0,0,167.539,0,0,12.944,0,0.14,0.709,1,2
"ADH4","ADH4","Bivariate model, Reitsma 2005",0.469,0.306,0.639,0.788,0.58,0.909,3.97,3.28,0.98,11,2.45,2.19,0.987,5.45,0.692,0.681,0.447,1.01,0.58,"Univariate model, Glas 2003",3.717,1.005,13.748,1.313,0.005,2.621,0,0,95.928,0,0,9.794,0,0.084,0.772,1,2
"ACTN4","ACTN4","Bivariate model, Reitsma 2005",0.423,0.252,0.616,0.809,0.545,0.937,4.15,3.12,0.707,13.7,2.65,2.2,0.806,7.16,0.74,0.722,0.463,1.13,0.775,"Univariate model, Glas 2003",3.736,0.75,18.598,1.318,-0.287,2.923,0,0,7.74,0,0,2.782,0,0.007,0.935,1,2
"FCRL5","FCRL5","Bivariate model, Reitsma 2005",0.686,0.469,0.844,0.615,0.401,0.792,4.01,3.48,1.22,9.89,1.85,1.75,1.09,3.14,0.536,0.519,0.267,0.902,0.689,"Univariate model, Glas 2003",4.196,1.395,12.62,1.434,0.333,2.535,0,0,15.683,0,0,3.96,0,0.021,0.884,1,2
"BPIFB1","BPIFB1","Bivariate model, Reitsma 2005",0.618,0.415,0.787,0.599,0.38,0.784,3.11,2.42,0.599,9.77,1.65,1.53,0.782,3.22,0.684,0.642,0.31,1.3,0.64,"Univariate model, Glas 2003",2.303,0.558,9.499,0.834,-0.583,2.251,0.448,0,1200.111,0.669,0,34.643,0,1,0.317,1,2
"ST6GAL1","ST6GAL1","Bivariate model, Reitsma 2005",0.862,0.624,0.959,0.606,0.128,0.942,16,9.62,1.34,69,3.31,2.15,1.04,12.7,0.302,0.256,0.09,0.793,0.855,"Univariate model, Glas 2003",11.622,2.241,60.281,2.453,0.807,4.099,0,0,979.121,0,0,31.291,0,0.68,0.41,1,2
"MARCO","MARCO","Bivariate model, Reitsma 2005",0.797,0.527,0.932,0.466,0.262,0.683,4.15,3.42,1.01,11.6,1.52,1.46,1,2.33,0.48,0.444,0.163,0.994,0.625,"Univariate model, Glas 2003",4.139,1.224,13.994,1.421,0.202,2.639,0,0,147.654,0,0,12.151,0,0.187,0.665,1,2
"DSG1","DSG1","Bivariate model, Reitsma 2005",0.617,0.446,0.763,0.736,0.52,0.878,5.39,4.5,1.39,14.6,2.54,2.32,1.18,5.2,0.541,0.527,0.312,0.859,0.674,"Univariate model, Glas 2003",6.087,0.853,43.443,1.806,-0.159,3.771,0.884,0,2720.82,0.94,0,52.161,0,1,0.317,1,2
"TSKU","TSKU","Bivariate model, Reitsma 2005",0.661,0.343,0.879,0.691,0.547,0.806,5.48,4.36,1.16,16.4,2.15,2.09,1.1,3.5,0.514,0.495,0.181,0.949,0.705,"Univariate model, Glas 2003",5.736,2.071,15.884,1.747,0.728,2.765,0.06,0,809.097,0.244,0,28.445,0,1,0.317,1,2
"FAM20C","FAM20C","Bivariate model, Reitsma 2005",0.884,0.721,0.958,0.434,0.087,0.86,9.21,5.85,0.901,37.9,2.01,1.54,0.989,5.83,0.361,0.285,0.104,1.09,0.858,"Univariate model, Glas 2003",5.852,1.352,25.321,1.767,0.302,3.232,0.248,0,1201.177,0.498,0,34.658,0,1,0.317,1,2
